#{"t_start": 1605530774.780624, "env_id": "ChromeDino-v0"}
r,l,t
50.2,513,25.646695
50.1,512,47.778375
24.5,256,58.525526
47.0,481,74.579591
2.0,31,81.195418
371.3,3724,253.767049
30.6,317,267.704733
9.3,104,276.109512
18.6,197,281.124683
-0.1,10,287.254694
19.5,206,292.352428
24.7,258,304.474679
23.8,249,316.622048
24.7,258,328.819253
4.2,53,335.899528
19.6,207,340.921559
24.3,254,353.147466
24.1,252,365.226467
24.3,254,377.486593
24.6,257,389.86363
51.7,528,413.934248
25.3,264,425.805569
47.6,487,448.953545
24.3,254,461.247532
25.6,267,473.710058
23.6,247,485.832496
24.9,260,498.14105
23.6,247,510.474931
24.2,253,523.192856
24.0,251,536.061398
25.3,264,549.219244
5.1,62,557.365894
19.1,202,562.417142
25.0,261,575.396658
23.5,246,588.362672
25.4,265,601.582545
3.9,50,609.619502
23.9,250,615.929903
20.4,215,628.030256
28.3,294,642.008857
20.2,213,654.126065
4.1,52,662.186973
18.3,194,667.227103
23.7,248,680.51422
24.9,260,693.896825
24.7,258,707.102825
25.1,262,720.142205
23.7,248,733.162727
25.2,263,746.318576
24.3,254,759.327228
5.0,61,767.244013
18.1,192,772.234171
25.7,268,785.285558
24.4,255,798.204442
24.8,259,810.97399
24.9,260,823.64377
25.5,266,836.40519
23.3,244,848.9845
24.8,259,861.748609
24.3,254,874.563085
29.2,303,894.416219
46.7,478,911.46539
24.1,252,923.974859
25.4,265,936.599689
22.4,235,948.892948
25.8,269,961.727757
24.9,260,974.158767
24.5,256,986.435743
2.2,33,993.75688
20.3,214,998.784511
24.1,252,1011.433954
24.7,258,1024.241459
25.7,268,1036.966575
53.3,544,1068.104005
20.1,212,1073.125802
24.6,257,1085.731014
24.3,254,1098.308964
25.1,262,1110.936294
25.6,267,1123.378617
23.1,242,1135.6416
25.8,269,1148.113102
23.2,243,1160.247449
24.8,259,1172.555153
51.6,527,1196.995389
1.3,24,1203.956745
21.5,226,1209.022612
21.4,225,1221.184753
31.0,321,1228.005575
20.8,219,1233.083274
